552,456,553,124,564,533,532,624,624,532,920,409,410,411,920,532,624,624,533,533
520,483,521,124,596,533,429,718,718,532,952,441,442,443,952,532,718,718,429,533
520,483,521,124,564,565,529,782,750,596,984,537,538,539,984,565,750,782,531,564
520,483,521,124,596,597,786,720,784,564,537,569,570,571,539,597,784,720,784,596
520,515,521,124,564,565,719,851,720,596,569,601,602,603,638,597,720,851,720,564
520,483,521,124,596,597,783,720,784,596,351,387,391,388,386,565,784,720,784,596
520,483,521,124,492,428,396,784,720,660,661,560,562,561,660,661,720,784,600,428
520,483,521,124,566,566,786,720,784,720,784,921,922,923,784,720,784,720,784,567
520,483,483,18,495,495,719,851,720,784,851,953,954,955,851,784,720,851,720,567
520,483,521,124,566,566,783,720,784,720,784,720,352,720,784,720,784,720,784,567
520,483,521,124,566,566,719,784,720,784,720,784,391,784,720,784,720,784,720,567
520,483,521,124,566,566,783,851,784,720,851,720,391,720,851,720,784,851,784,566
520,483,521,124,566,566,719,784,720,784,720,784,391,784,720,784,720,784,720,566
520,483,521,124,566,598,783,720,784,720,784,720,391,720,784,720,784,720,784,598
520,483,521,124,566,786,720,851,720,784,851,784,391,784,851,784,720,851,720,784
520,483,521,124,566,719,784,720,784,720,784,720,384,720,784,720,784,720,784,720
520,483,521,124,660,534,534,534,534,534,661,859,860,859,536,534,534,534,534,534
520,515,521,20,83,84,85,83,84,85,86,50,50,50,83,84,83,84,85,86
520,515,515,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,456,553
584,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,585
