199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200
231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232
199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200
231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232
199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200
231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232
199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200
231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232
199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200
231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232
199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200
231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232
199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200
231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232
199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200
231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232
199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200
231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232
199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200,199,200
231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232,231,232
